category;subject;percent
;Цифровые листы для записи;10
;Цифровые мультимедиа;10
;Цифровые аудиоучебники;10
;Цифровые книги;10
;Подписки на сервис;10
;Абонемент в фитнес-клуб;10
;Цифровые журналы;10
;Цифровые учебники;10
;Музыка (цифровой контент);10
;Игры (цифровой контент);10
;Цифровые коды;10
;Цифровые аудиокниги;10
;Цифровые видеокурсы;10
;Цифровые наборы карточек;10
Автомобильные товары;Специнструменты для главной передачи;17
Автомобильные товары;Герметики топливной системы;17
Автомобильные товары;Рамы автомобильные;17
Автомобильные товары;Картеры двигателя;17
Автомобильные товары;Буферы автомобильные;17
Автомобильные товары;Фиксаторы пружины;17
Автомобильные товары;Тяги соединительные;17
Автомобильные товары;Прокладки выпускного коллектора;17
Автомобильные товары;Ассистенты изменения полосы движения;17
Автомобильные товары;Столбики с вытяжной лентой;17
Автомобильные товары;Статоры генератора;17
Автомобильные товары;Тормозные шланги;17
Автомобильные товары;Петли бортовые;17
Автомобильные товары;Теплоизоляционный материал для авто;17
Автомобильные товары;Шампуни для автомобиля;17
Автомобильные товары;Датчики дроссельной заслонки;17
Автомобильные товары;Конверторы для автомагнитол;17
Автомобильные товары;Жидкое стекло;17
Автомобильные товары;Модули управления центральным замком;17
Автомобильные товары;Защита радиатора;17
Автомобильные товары;Гидроаккумуляторы автомобильные;17
Автомобильные товары;Защита картера;17
Автомобильные товары;Пыльники автомобильные;17
Автомобильные товары;Зеркала автомобильные;17
Автомобильные товары;Центральные замки;17
Автомобильные товары;Крепления для автомобильных колес;17
Автомобильные товары;Утеплители радиатора;17
Автомобильные товары;Направляющие клапана;17
Автомобильные товары;Шарниры карданные;17
Автомобильные товары;Колесоотбойники;17
Автомобильные товары;Фонари автомобильные;17
Автомобильные товары;Радиаторы охлаждения;17
Автомобильные товары;Шарниры коленчатые;17
Автомобильные товары;Элементы облицовки;17
Автомобильные товары;Вкладыши подшипника коленвала;17
Автомобильные товары;Трубопроводы тормозной системы;17
Автомобильные товары;Сидения автомобильные;17
Автомобильные товары;Обогреватели автомобильные;17
Автомобильные товары;Прерыватели указателей поворота;17
Автомобильные товары;Валы коленчатые;17
